"device_id","T0","T1","T11","T12 Total Round Time","T2","T3 Download Time","T4","T5 Compute Time","T6","T7","T8","T9 Lambda Runtime","Upload Time"
"36","","1647017307.6227493","","","1647017308.3734183","0.750669002532959","1647017318.8185232","10.445104837417603","1647017320","","","","1.1814768314361572"
"33","","1647017309.2006388","","","1647017309.9670558","0.7664170265197754","1647017320.5266526","10.55959677696228","1647017321","","","","0.47334742546081543"
"22","","1647017319.364625","","","1647017319.983388","0.6187629699707031","1647017324.4249308","4.441542863845825","1647017325","","","","0.5750691890716553"
"18","","1647017308.3932705","","","1647017309.0160747","0.6228041648864746","1647017318.71672","9.700645446777344","1647017319","","","","0.2832798957824707"
"16","","1647017316.0018506","","","1647017316.189871","0.1880204677581787","1647017319.865986","3.676115036010742","1647017320","","","","0.13401389122009277"
"40","","1647017312.5574608","","","1647017313.3152902","0.7578294277191162","1647017318.782504","5.467213869094849","1647017320","","","","1.2174959182739258"
"2","","1647017325.4641232","","","1647017325.539873","0.07574963569641113","1647017329.126757","3.586884021759033","1647017330","","","","0.8732430934906006"
"13","","1647017324.49495","","","1647017324.681659","0.18670892715454102","1647017333.0233512","8.341692209243774","1647017334","","","","0.9766488075256348"
"8","","1647017317.5868435","","","1647017317.6672943","0.08045077323913574","1647017324.1865416","6.51924729347229","1647017325","","","","0.8134584426879883"
"9","","1647017298.6529782","","","1647017298.8340762","0.18109798431396484","1647017309.5432415","10.709165334701538","1647017310","","","","0.4567584991455078"
"1","","1647017303.2718782","","","1647017303.3352187","0.06334042549133301","1647017309.6577425","6.322523832321167","1647017310","","","","0.3422574996948242"
"31","","1647017310.8186848","","","1647017312.6407094","1.8220245838165283","1647017320.1139","7.473190546035767","1647017321","","","","0.8861000537872314"
"6","","1647017315.1901593","","","1647017315.270285","0.08012557029724121","1647017319.5073712","4.237086296081543","1647017320","","","","0.492628812789917"
"38","","1647017314.1850631","","","1647017314.9258015","0.7407383918762207","1647017322.0621278","7.136326313018799","1647017323","","","","0.9378721714019775"
"28","","1647017325.8489013","","","1647017327.4716947","1.622793436050415","1647017331.4565315","3.9848368167877197","1647017333","","","","1.5434684753417969"
"AVERAGER","","","1647017342","48.14029932022095","","","","","","1647017336.2008224","1647017341.8807833","5.6799609661102295",""
"30","","1647017306.0794396","","","1647017307.7574828","1.6780431270599365","1647017311.3871114","3.6296286582946777","1647017313","","","","1.6128885746002197"
"35","","1647017306.257682","","","1647017306.9977756","0.740093469619751","1647017317.186894","10.189118385314941","1647017318","","","","0.8131060600280762"
"24","","1647017316.8888404","","","1647017317.5207486","0.6319081783294678","1647017321.383239","3.86249041557312","1647017322","","","","0.6167609691619873"
"27","","1647017319.0877893","","","1647017320.67662","1.5888307094573975","1647017324.8767977","4.2001776695251465","1647017326","","","","1.1232023239135742"
"5","","1647017318.9188216","","","1647017319.0259252","0.10710358619689941","1647017326.3433063","7.317381143569946","1647017327","","","","0.656693696975708"
"4","","1647017301.1667848","","","1647017301.235735","0.06895017623901367","1647017306.392808","5.157073020935059","1647017307","","","","0.6071920394897461"
"32","","1647017310.2950628","","","1647017311.9307902","1.6357274055480957","1647017318.5322106","6.6014204025268555","1647017320","","","","1.4677894115447998"
"34","","1647017308.1103704","","","1647017308.9318674","0.8214969635009766","1647017319.274217","10.342349529266357","1647017320","","","","0.725783109664917"
"INITIATOR","1647017293.8597007","","","","","","","","","","","",""
"23","","1647017320.7266495","","","1647017321.3608286","0.6341791152954102","1647017326.24463","4.883801460266113","1647017327","","","","0.7553699016571045"
"19","","1647017306.1568494","","","1647017306.7861187","0.6292693614959717","1647017315.3448904","8.55877161026001","1647017316","","","","0.6551096439361572"
"26","","1647017295.8273458","","","1647017297.447564","1.62021803855896","1647017301.0913553","3.643791437149048","1647017302","","","","0.9086446762084961"
"7","","1647017318.9528546","","","1647017319.0430753","0.09022068977355957","1647017326.195024","7.151948690414429","1647017327","","","","0.8049759864807129"
"11","","1647017298.5110676","","","1647017298.6841745","0.17310690879821777","1647017309.631534","10.947359561920166","1647017310","","","","0.3684659004211426"
"3","","1647017303.1286223","","","1647017303.2057714","0.0771491527557373","1647017309.5680225","6.362251043319702","1647017310","","","","0.4319775104522705"
"20","","1647017308.9072862","","","1647017309.528332","0.6210458278656006","1647017319.1046898","9.5763578414917","1647017320","","","","0.8953101634979248"
"39","","1647017315.9746127","","","1647017316.7431116","0.7684988975524902","1647017324.5080838","7.76497220993042","1647017325","","","","0.4919161796569824"
"37","","1647017316.1891701","","","1647017316.960087","0.7709169387817383","1647017324.8450131","7.884926080703735","1647017326","","","","1.15498685836792"
"29","","1647017311.269726","","","1647017312.9149594","1.645233392715454","1647017320.342817","7.4278576374053955","1647017321","","","","0.6571829319000244"
"21","","1647017325.7324178","","","1647017326.3443909","0.6119730472564697","1647017330.5593238","4.214932918548584","1647017331","","","","0.440676212310791"
"25","","1647017327.392794","","","1647017329.0122602","1.6194663047790527","1647017333.7277339","4.715473651885986","1647017335","","","","1.272266149520874"
"12","","1647017296.6563087","","","1647017296.8226273","0.16631865501403809","1647017306.8925233","10.06989598274231","1647017307","","","","0.10747671127319336"
"17","","1647017310.1189756","","","1647017310.756127","0.6371514797210693","1647017320.171209","9.415081977844238","1647017321","","","","0.8287909030914307"
"10","","1647017296.373275","","","1647017296.5402837","0.167008638381958","1647017306.5603344","10.020050764083862","1647017307","","","","0.4396655559539795"
"15","","1647017324.1526966","","","1647017324.327162","0.17446541786193848","1647017332.7886963","8.461534261703491","1647017333","","","","0.2113037109375"
"14","","1647017324.3824255","","","1647017324.7776587","0.395233154296875","1647017332.896032","8.118373394012451","1647017333","","","","0.10396790504455566"
