"device_id","T0","T1","T11","T12 Total Round Time","T2","T3 Download Time","T4","T5 Compute Time","T6","T7","T8","T9 Lambda Runtime","Upload Time"
"36","","1647289251.5146008","","","1647289252.2953055","0.8345687389373779","1647289158.4040606","1.0587210655212402","1647289159","","","","0.5959393978118896"
"33","","1647289250.8319335","","","1647289251.599793","0.7678594589233398","1647289253.3118508","1.7120578289031982","1647289254","","","","0.6881492137908936"
"22","","1647289238.2958503","","","1647289238.9019816","0.6061313152313232","1647289239.918831","1.0168495178222656","1647289241","","","","1.0811688899993896"
"18","","1647289238.1468832","","","1647289238.7943254","0.647442102432251","1647289241.918817","3.1244916915893555","1647289243","","","","1.0811829566955566"
"16","","1647289235.3728645","","","1647289235.5492744","0.17640995979309082","1647289236.62579","1.0765156745910645","1647289237","","","","0.3742098808288574"
"40","","1647289238.2993913","","","1647289239.102918","0.8035266399383545","1647289240.1790972","1.0761792659759521","1647289241","","","","0.8209028244018555"
"2","","1647289235.0560455","","","1647289235.1334448","0.07739925384521484","1647289236.1471355","1.013690710067749","1647289237","","","","0.8528645038604736"
"13","","1647289236.2792742","","","1647289236.462143","0.18286871910095215","1647289237.983074","1.5209310054779053","1647289239","","","","1.0169260501861572"
"8","","1647289234.792698","","","1647289234.864125","0.0714271068572998","1647289235.8707848","1.006659746170044","1647289236","","","","0.12921524047851562"
"9","","1647289237.4407659","","","1647289237.6264136","0.18564772605895996","1647289238.6651287","1.038715124130249","1647289239","","","","0.3348712921142578"
"1","","1647289238.9284158","","","1647289239.0154667","0.0870509147644043","1647289165.65652","1.6861770153045654","1647289166","","","","0.34348011016845703"
"31","","1647289256.758914","","","1647289258.3619761","1.6030621528625488","1647289259.4852076","1.1232314109802246","1647289261","","","","1.5147924423217773"
"6","","1647289234.6886613","","","1647289234.7480955","0.05943417549133301","1647289235.7692945","1.0211989879608154","1647289236","","","","0.23070549964904785"
"38","","1647289238.1172101","","","1647289238.9111772","0.7939670085906982","1647289239.9855802","1.0744030475616455","1647289241","","","","1.0144197940826416"
"28","","1647289255.106021","","","1647289256.7254703","1.6194493770599365","1647289257.6224012","0.8969309329986572","1647289259","","","","1.377598762512207"
"AVERAGER","","","1647289198","46.22786593437195","","","","","","1647289261.4438791","1647289267.2986841","5.662780523300171",""
"30","","1647289237.582924","","","1647289239.1907804","1.6078565120697021","1647289240.0808089","0.8900284767150879","1647289241","","","","0.9191911220550537"
"35","","1647289250.816878","","","1647289251.5808413","0.7639632225036621","1647289253.3153112","1.7344698905944824","1647289254","","","","0.6846888065338135"
"24","","1647289239.7431383","","","1647289240.3797588","0.6366205215454102","1647289241.3438356","0.9640767574310303","1647289242","","","","0.6561644077301025"
"27","","1647289250.807543","","","1647289252.447156","1.6058971881866455","1647289188.9498951","1.0313751697540283","1647289190","","","","1.0501048564910889"
"5","","1647289235.9973986","","","1647289236.1016388","0.10424017906188965","1647289237.3038278","1.2021889686584473","1647289238","","","","0.6961722373962402"
"4","","1647289237.6283658","","","1647289237.7209668","0.09260106086730957","1647289238.631795","0.9108281135559082","1647289239","","","","0.36820507049560547"
"32","","1647289256.0127199","","","1647289158.4440517","1.6107816696166992","1647289159.6766472","1.232595443725586","1647289161","","","","1.3233528137207031"
"34","","1647289237.0970871","","","1647289237.8495052","0.752418041229248","1647289172.4934657","0.8844375610351562","1647289173","","","","0.5065343379974365"
"INITIATOR","1647289230.8551042","","","","","","","","","","","",""
"23","","1647289238.675134","","","1647289239.2863615","0.6112275123596191","1647289240.5297096","1.2433481216430664","1647289241","","","","0.4702904224395752"
"19","","1647289238.1930575","","","1647289238.7992914","0.6062338352203369","1647289242.154035","3.354743719100952","1647289243","","","","0.8459649085998535"
"26","","1647289237.9630077","","","1647289239.6203136","1.6573059558868408","1647289240.5351348","0.9148211479187012","1647289003","","","","0.994534969329834"
"7","","1647289235.9636054","","","1647289236.047181","0.08357548713684082","1647289237.2698398","1.2226588726043701","1647289238","","","","0.7301602363586426"
"11","","1647289250.0853045","","","1647289250.2559938","0.17068934440612793","1647289251.284862","1.0288681983947754","1647289252","","","","0.7151379585266113"
"3","","1647289234.5740762","","","1647289234.6551874","0.08111119270324707","1647289235.8575144","1.202327013015747","1647289236","","","","0.1424856185913086"
"20","","1647289237.9067736","","","1647289238.5208795","0.6141059398651123","1647289241.1375213","2.6166417598724365","1647289242","","","","0.8624787330627441"
"39","","1647289250.25361","","","1647289250.9919956","0.7361240386962891","1647289157.1116447","1.2209887504577637","1647289158","","","","0.8883552551269531"
"37","","1647289250.307852","","","1647289251.0490503","0.8336386680603027","1647289157.1833203","1.2243704795837402","1647289158","","","","0.8166797161102295"
"29","","1647289240.121764","","","1647289241.7596323","1.6378684043884277","1647289242.8469534","1.0873210430145264","1647289244","","","","1.1530466079711914"
"21","","1647289236.823451","","","1647289237.43866","0.6152088642120361","1647289172.713982","1.2732584476470947","1647289173","","","","0.28601789474487305"
"25","","1647289241.0779119","","","1647289242.7386286","1.6607167720794678","1647289243.7845852","1.0459566116333008","1647289245","","","","1.2154147624969482"
"12","","1647289249.1216047","","","1647289157.3470814","0.23706889152526855","1647289158.310531","0.9634494781494141","1647289159","","","","0.6894690990447998"
"17","","1647289238.2833524","","","1647289238.8983004","0.614948034286499","1647289242.179287","3.2809865474700928","1647289243","","","","0.8207130432128906"
"10","","1647289253.5339577","","","1647289253.7481833","0.18333888053894043","1647289162.6683109","0.9112873077392578","1647289163","","","","0.33168911933898926"
"15","","1647289236.559263","","","1647289236.741776","0.18251299858093262","1647289238.130482","1.3887059688568115","1647289239","","","","0.8695180416107178"
"14","","1647289235.6537843","","","1647289235.8210227","0.16723847389221191","1647289237.1035757","1.28255295753479","1647289238","","","","0.8964242935180664"
