"device_id","T0","T1","T11","T12 Total Round Time","T2","T3 Download Time","T4","T5 Compute Time","T6","T7","T8","T9 Lambda Runtime","Upload Time"
"36","","1647289876.0750234","","","1647289876.8215857","0.7465622425079346","1647289882.1703737","5.348788022994995","1647289883","","","","0.8296263217926025"
"33","","1647289876.3098366","","","1647289877.0509865","0.74114990234375","1647289882.4551258","5.404139280319214","1647289883","","","","0.5448741912841797"
"22","","1647289854.0436099","","","1647289854.7965705","0.7529606819152832","1647289857.3581567","2.5615861415863037","1647289858","","","","0.641843318939209"
"18","","1647289873.371719","","","1647289874.265693","0.8939740657806396","1647289876.0803351","1.8146421909332275","1647289877","","","","0.9196648597717285"
"16","","1647289867.5361316","","","1647289867.7222652","0.18613362312316895","1647289873.893568","6.171302795410156","1647289874","","","","0.10643196105957031"
"40","","1647289882.3218083","","","1647289883.0786104","0.7568020820617676","1647289890.0457995","6.967189073562622","1647289891","","","","0.9542005062103271"
"2","","1647289879.190806","","","1647289879.2711143","0.08030843734741211","1647289883.818517","4.547402620315552","1647289884","","","","0.18148303031921387"
"13","","1647289867.9636881","","","1647289868.1421096","0.1784214973449707","1647289874.6677186","6.525609016418457","1647289875","","","","0.33228135108947754"
"8","","1647289885.3588624","","","1647289885.4555273","0.0966649055480957","1647289887.2322001","1.7766728401184082","1647289888","","","","0.7677998542785645"
"9","","1647289862.7647042","","","1647289862.948399","0.18369483947753906","1647289868.521801","5.573401927947998","1647289869","","","","0.4781990051269531"
"1","","1647289880.34812","","","1647289880.430481","0.08236098289489746","1647289886.0389066","5.608425617218018","1647289887","","","","0.9610934257507324"
"31","","1647289881.1987047","","","1647289882.84001","1.6413052082061768","1647289888.2508404","5.410830497741699","1647289889","","","","0.749159574508667"
"6","","1647289854.5278602","","","1647289854.6209903","0.09313011169433594","1647289856.74033","2.11933970451355","1647289857","","","","0.2596700191497803"
"38","","1647289882.1973221","","","1647289882.9406908","0.7433686256408691","1647289889.398465","6.4577741622924805","1647289890","","","","0.6015350818634033"
"28","","1647289871.669637","","","1647289873.2753701","1.6057331562042236","1647289878.9354637","5.660093545913696","1647289880","","","","1.0645363330841064"
"AVERAGER","","","1647289898","46.49629735946655","","","","","","1647289891.9153738","1647289897.6626472","5.7472734451293945",""
"30","","1647289880.7974741","","","1647289882.764713","1.9672389030456543","1647289887.6791413","4.914428234100342","1647289889","","","","1.3208587169647217"
"35","","1647289876.2760115","","","1647289877.002368","0.7263565063476562","1647289882.5569696","5.554601669311523","1647289883","","","","0.44303035736083984"
"24","","1647289852.986725","","","1647289853.695525","0.7087998390197754","1647289855.949337","2.253812074661255","1647289857","","","","1.0506629943847656"
"27","","1647289872.3368716","","","1647289873.923507","1.5866353511810303","1647289880.2892003","6.3656933307647705","1647289881","","","","0.7107996940612793"
"5","","1647289855.959129","","","1647289856.044767","0.08563780784606934","1647289858.7663836","2.721616744995117","1647289859","","","","0.23361635208129883"
"4","","1647289879.857536","","","1647289879.9324582","0.07492208480834961","1647289885.2178771","5.28541898727417","1647289886","","","","0.7821228504180908"
"32","","1647289880.3339274","","","1647289881.973776","1.6398487091064453","1647289886.487463","4.513686895370483","1647289888","","","","1.5125370025634766"
"34","","1647289875.149111","","","1647289875.8961937","0.7470827102661133","1647289879.9443944","4.048200607299805","1647289881","","","","1.0556056499481201"
"INITIATOR","1647289851.5037026","","","","","","","","","","","",""
"23","","1647289854.4338906","","","1647289855.0585048","0.6246142387390137","1647289857.9942203","2.935715436935425","1647289859","","","","1.00577974319458"
"19","","1647289876.0962832","","","1647289876.7821093","0.6858260631561279","1647289880.4876401","3.705530881881714","1647289881","","","","0.5123598575592041"
"26","","1647289871.621953","","","1647289873.400739","1.7787859439849854","1647289879.176867","5.776128053665161","1647289880","","","","0.8231329917907715"
"7","","1647289856.0541275","","","1647289856.1359146","0.081787109375","1647289858.8534646","2.717550039291382","1647289859","","","","0.14653539657592773"
"11","","1647289862.6256363","","","1647289862.9013104","0.27567410469055176","1647289868.4996204","5.5983099937438965","1647289869","","","","0.5003795623779297"
"3","","1647289880.339696","","","1647289880.4024694","0.06277346611022949","1647289885.854618","5.452148675918579","1647289886","","","","0.14538192749023438"
