"device_id","T0","T1","T11","T12 Total Round Time","T2","T3 Download Time","T4","T5 Compute Time","T6","T7","T8","T9 Lambda Runtime","Upload Time"
"36","","1647291472.2718592","","","1647291473.025551","0.7536919116973877","1647291474.8298295","1.8042783737182617","1647291476","","","","1.170170545578003"
"33","","1647291476.4067678","","","1647291477.1980624","0.7912945747375488","1647291479.5783498","2.3802874088287354","1647291480","","","","0.4216501712799072"
"22","","1647291473.6841831","","","1647291474.3120422","0.6278591156005859","1647291476.1299593","1.8179171085357666","1647291477","","","","0.8700406551361084"
"18","","1647291486.5696301","","","1647291487.1858985","0.6162683963775635","1647291488.9973621","1.8114635944366455","1647291490","","","","1.0026378631591797"
"16","","1647291466.290169","","","1647291466.4532475","0.16307854652404785","1647291468.2306275","1.7773799896240234","1647291469","","","","0.7693724632263184"
"40","","1647291483.027246","","","1647291483.7861624","0.7589163780212402","1647291485.5863056","1.8001432418823242","1647291486","","","","0.4136943817138672"
"2","","1647291466.1247363","","","1647291466.2191873","0.0944509506225586","1647291468.0497427","1.8305554389953613","1647291469","","","","0.9502573013305664"
"13","","1647291470.9909053","","","1647291471.1652162","0.17431092262268066","1647291473.6766415","2.511425256729126","1647291474","","","","0.32335853576660156"
"8","","1647291470.899279","","","1647291470.9555752","0.05629611015319824","1647291472.90339","1.947814702987671","1647291473","","","","0.09661006927490234"
"9","","1647291492.889331","","","1647291493.0692813","0.17995023727416992","1647291495.570958","2.501676559448242","1647291496","","","","0.42904210090637207"
"1","","1647291477.6286297","","","1647291477.6872914","0.058661699295043945","1647291480.1613057","2.4740142822265625","1647291481","","","","0.8386943340301514"
"31","","1647291466.8899262","","","1647291468.5026517","1.6127254962921143","1647291470.940949","2.4382972717285156","1647291472","","","","1.0590510368347168"
"6","","1647291469.8775923","","","1647291469.9507701","0.07317781448364258","1647291471.8846302","1.9338600635528564","1647291472","","","","0.11536979675292969"
"38","","1647291479.0284948","","","1647291479.7831533","0.7546584606170654","1647291481.5699914","1.7868380546569824","1647291482","","","","0.4300086498260498"
"28","","1647291486.059356","","","1647291487.6927304","1.6333744525909424","1647291489.7479196","2.0551891326904297","1647291491","","","","1.2520804405212402"
"AVERAGER","","","1647291502","40.360107421875","","","","","","1647291497.517742","1647291502.073209","4.555467128753662",""
"30","","1647291492.3541408","","","1647291493.9503853","1.5962445735931396","1647291495.768016","1.8176307678222656","1647291497","","","","1.2319839000701904"
